model,approach,acc,precision,recall,f1,auc,total_time,anomesdia_datetime
DecisionTreeClassifier,Treino 5 K-folds,0.7783,0.722,0.7191,0.7143,0.7663,0.112,2021-02-03 20:35:55.281367
DecisionTreeClassifier,Teste,0.7143,0.7273,0.5333,0.6154,0.6917,0.006,2021-02-03 20:35:55.281367
RandomForestClassifier,Treino 5 K-folds,0.8283,0.7949,0.7305,0.7548,0.866,3.588,2021-02-03 20:35:55.281367
RandomForestClassifier,Teste,0.7886,0.8065,0.6667,0.7299,0.8525,0.025,2021-02-03 20:35:55.281367
LGBMClassifier,Treino 5 K-folds,0.8254,0.7834,0.7528,0.767,0.8571,1.112,2021-02-03 20:35:55.281367
LGBMClassifier,Teste,0.8057,0.8254,0.6933,0.7536,0.8471,0.007,2021-02-03 20:35:55.281367
XGBClassifier,Treino 5 K-folds,0.8384,0.8137,0.7491,0.7797,0.8673,1.241,2021-02-03 20:35:55.281367
XGBClassifier,Teste,0.8,0.8125,0.6933,0.7482,0.8612,0.008,2021-02-03 20:35:55.281367
AdaBoostClassifier,Treino 5 K-folds,0.8111,0.7486,0.7637,0.7556,0.8469,2.227,2021-02-03 20:35:55.281367
AdaBoostClassifier,Teste,0.8,0.7857,0.7333,0.7586,0.846,0.02,2021-02-03 20:35:55.281367
GradientBoostingClassifier,Treino 5 K-folds,0.8283,0.8027,0.7267,0.7636,0.8712,2.953,2021-02-03 20:35:55.281367
GradientBoostingClassifier,Teste,0.8114,0.8387,0.6933,0.7591,0.8472,0.005,2021-02-03 20:35:55.281367
